"local_authority_id","name","ons_code","year","link_length_km","link_length_miles","cars_and_taxis","all_motor_vehicles"
29,"City of Edinburgh","S12000036",1997,1449.504,900.68,1388157296.38909,1662651097.59007
127,"Southend-on-Sea","E06000033",1998,441.903,274.59,331123229.713473,386213234.087927
149,"Wolverhampton","E08000031",1998,742.453,461.34,605759470.939712,730885112.816154
134,"Croydon","E09000008",1998,781.165,485.39,708756384.589,840802382.212877
54,"Orkney Islands","S12000023",1998,1083.245,673.1,58179963.3888094,74970371.1574405
29,"City of Edinburgh","S12000036",1998,1453.304,903.04,1406586973.94715,1694351402.18623
89,"East Riding of Yorkshire","E06000011",1999,3404.2,2115.27,1463819206.45928,1869246194.72282
1,"Isles of Scilly","E06000053",1999,36.4,22.62,997428.766006522,1624923.57134335
195,"Bradford","E08000032",1999,1888.1,1173.21,1203081054.1438,1446259714.51722
97,"Cambridgeshire","E10000003",1999,4596.7,2856.26,3213131943.82307,4115665011.95518
16,"Pembrokeshire","W06000009",1999,2559.9,1590.65,458268319.26549,587397358.178239
95,"Rochdale","E08000005",2000,770.8,478.95,789489850.174336,1008366686.72332
195,"Bradford","E08000032",2000,1891.6,1175.39,1195594316.97235,1438477217.0462
200,"Poole","E06000029",2001,511.9,318.08,420731054.726177,500478716.211879
179,"Windsor and Maidenhead","E06000040",2001,691.2,429.49,957022339.023314,1136364322.18948
184,"Torbay","E06000027",2002,525.6,326.59,346323766.569423,409390362.875051
145,"Camden","E09000007",2002,284.2,176.59,291508512.142165,369794188.209089
142,"Oxfordshire","E10000025",2002,4598.2,2857.19,3715092220.97584,4584559535.17253
119,"Derby","E06000015",2003,752.019,467.28,858427787.977052,1026427377.63655
96,"Islington","E09000019",2003,245.7875,152.73,226564675.770507,295341968.984138
65,"Hampshire","E10000014",2003,8759.146,5442.68,7535564704.73491,9182829688.86786
28,"Renfrewshire","S12000038",2003,922.2755,573.08,713766838.848624,863254285.286427
4,"North Lanarkshire","S12000044",2003,1642.5725,1020.65,1429205248.22536,1800859712.40456
198,"Blackburn with Darwen","E06000008",2004,562.9,349.77,358947276.643324,438581290.706385
203,"Plymouth","E06000026",2004,803.6,499.33,712561784.390461,869400448.098352
161,"Liverpool","E08000012",2004,1442.4,896.27,1139737591.04171,1389617051.64376
141,"Birmingham","E08000025",2004,2474.6,1537.65,3055949330.51001,3712975232.4772
35,"Highland","S12000017",2004,7735.87,4806.85,1195042629.17476,1530003452.14171
40,"South Ayrshire","S12000028",2004,1283,797.22,481661172.472362,600562279.917724
4,"North Lanarkshire","S12000044",2004,1579.1,981.21,1449937502.23085,1836414126.44476
8,"Swansea","W06000011",2004,1172.1,728.31,865142610.522895,1035645473.41544
193,"Blackpool","E06000009",2005,470,292.04,300985540.498592,355175577.493574
129,"Peterborough","E06000031",2005,893.3,555.07,868020347.486556,1085813361.7436
38,"Dumfries & Galloway","S12000006",2005,4545.14,2824.22,857085490.27222,1204984354.4607
202,"York","E06000014",1993,826.544,513.59,524500823.938201,629222057.558856
120,"Luton","E06000032",1993,436.302,271.11,372377901.803468,440393086.251292
127,"Southend-on-Sea","E06000033",1993,435.941,270.88,319161357.6712,368984614.84928
180,"Bracknell Forest","E06000036",1993,437.113,271.61,356180914.086733,408275765.777857
66,"Hillingdon","E09000017",1993,719.211,446.9,1089713323.56538,1274279840.10876
69,"Worcestershire","E10000034",1993,4126.595,2564.15,2694265137.84499,3334558324.38559
44,"Argyll & Bute","S12000035",1993,2807.121,1744.26,366975035.790981,446844249.582439
90,"Salford","E08000006",1994,764.034,474.75,1037208578.77495,1289477937.59445
122,"Hackney","E09000012",1994,270.219,167.91,265905505.597312,331120260.801917
146,"Hammersmith and Fulham","E09000013",1994,217.845,135.36,292431800.162054,359860591.023423
38,"Dumfries & Galloway","S12000006",1994,4689.502,2913.92,737030288.738765,999660264.679273
106,"Bexley","E09000004",1995,528.816,328.59,453591573.958085,544521698.903404
201,"Havering","E09000016",1995,636.135,395.28,695009843.141056,874202576.950608
108,"Wandsworth","E09000032",1995,419.389,260.6,516171502.798656,622923704.31679
29,"City of Edinburgh","S12000036",1995,1441.552,895.74,1336556442.25225,1591312895.19208
14,"Powys","W06000023",1995,5125.16,3184.63,596159588.627416,779628177.070906
199,"Isle of Wight","E06000046",1996,851.617,529.17,307420733.54112,364216387.546727
121,"Enfield","E09000010",1996,582.912,362.2,748340364.148373,941557120.168218
103,"Southwark","E09000028",1996,390.963,242.93,428749861.434224,536649855.469061
111,"Hounslow","E09000018",1997,491.343,305.31,887516225.865943,1042336886.95518
167,"Newham","E09000025",1997,420.328,261.18,441322148.030502,555510885.801917
71,"Devon","E10000008",1997,12815.164,7962.97,3377147383.03309,4151468548.05436
135,"Surrey","E10000030",1997,5415.39,3364.97,6842075389.72401,8134735772.46381
34,"East Lothian","S12000010",1997,1046.258,650.11,357907257.864074,445291698.356597
158,"St. Helens","E08000013",1998,714.531,443.99,590269669.50509,744357156.083472
66,"Hillingdon","E09000017",1998,728.361,452.58,1192863862.54275,1408437312.3459
103,"Southwark","E09000028",1998,393.158,244.3,428313937.852939,539048046.906069
109,"Westminster","E09000033",1998,343.978,213.74,519302664.936769,669868977.049034
207,"Cheshire","E10000004",1998,5092.737,3164.48,3917728317.87362,4861799332.52307
18,"The Vale of Glamorgan","W06000014",1998,896.831,557.26,512606252.299073,607755513.737274
164,"Darlington","E06000005",1999,531.7,330.38,402728277.484491,496078484.77392
198,"Blackburn with Darwen","E06000008",1999,559,347.35,346251984.038217,416503146.002346
159,"Sheffield","E08000019",1999,1968.9,1223.42,1294046427.61274,1593178185.64583
185,"Harrow","E09000015",1999,467.8,290.68,340599300.087489,395298389.281595
149,"Wolverhampton","E08000031",2000,746.8,464.04,608085265.368637,734203816.681749
69,"Worcestershire","E10000034",2000,4182.15,2598.67,3173471805.37066,3973156967.88635
40,"South Ayrshire","S12000028",2000,1321.6,821.2,431507585.326692,536821555.98803
198,"Blackburn with Darwen","E06000008",2001,561.6,348.96,348869176.620552,417469261.209198
188,"Nottingham","E06000018",2001,788.3,489.83,772825091.903484,936485027.140206
129,"Peterborough","E06000031",2001,881.1,547.49,832486777.009575,1027686417.04527
1,"Isles of Scilly","E06000053",2001,36.5,22.68,1099430.17930287,1721209.05223806
197,"Kirklees","E08000034",2001,1902.2,1181.97,1242775764.51666,1576237870.72276
60,"Leicestershire","E10000018",2001,4401.2,2734.78,3340963179.4457,4295616781.9177
2,"Nottinghamshire","E10000024",2001,4726.2,2936.72,3041431248.49762,3866165673.04387
35,"Highland","S12000017",2001,8240.87,5120.64,1125073040.31953,1444353160.04534
37,"South Lanarkshire","S12000029",2001,2483.9,1543.42,1005869479.73833,1308465462.94639
180,"Bracknell Forest","E06000036",2002,446.2,277.26,391700537.222092,455312667.859482
149,"Wolverhampton","E08000031",2002,750.7,466.46,623862146.06683,751749691.014118
29,"City of Edinburgh","S12000036",2002,1468.5,912.48,1474178671.86879,1783867427.97065
92,"Durham","E06000047",2003,3788.643,2354.15,1819499036.02359,2320300186.90997
37,"South Lanarkshire","S12000029",2003,2490.3185,1547.41,1084781380.48795,1420617976.64141
98,"Rutland","E06000017",2004,539.3,335.11,261840178.424739,348211984.075145
162,"Oldham","E08000004",2004,820.3,509.71,555518786.357839,684534813.164193
111,"Hounslow","E09000018",2004,499.1,310.13,856213536.535753,1023387578.65593
46,"Moray","S12000020",2004,1738,1079.94,348658455.693569,440375289.414866
48,"Inverclyde","S12000018",1993,401.049,249.2,245453438.171081,287434804.491768
18,"The Vale of Glamorgan","W06000014",1993,888.311,551.97,473282625.094448,554285242.931281
207,"Cheshire","E10000004",1994,5048.582,3137.04,3548278440.78084,4359965542.48191
189,"Dudley","E08000027",1995,981.589,609.93,834418884.340452,995165891.81679
